Slice,Iteration,Step,Throughput,Latency,PacketLoss,txPower,channelWidth
eMBB,1,1,94.66666667,56.34766826,0,15,20
eMBB,1,2,94.66666667,72.08871,865.6666667,15,40
eMBB,1,3,94.66666667,51.75394911,945.1666667,15,80
eMBB,1,4,94.66666667,88.18826919,1513.166667,15,80
eMBB,1,5,94.66666667,82.7095402,3114.333333,15,80
eMBB,1,6,94.66666667,95.51570645,4032.166667,15,80
eMBB,1,7,94.66666667,55.14096736,5308.166667,15,80
eMBB,1,8,94.66666667,53.09052687,5397.833333,15,80
eMBB,1,9,94.66666667,74.85329203,5599.666667,15,80
eMBB,1,10,94.66666667,88.58080208,6177.166667,15,80
eMBB,1,11,94.66666667,56.19705035,6842.833333,15,80
eMBB,1,12,94.66666667,75.35697449,7275.333333,15,80
eMBB,1,13,94.66666667,71.16050975,8688.333333,15,80
eMBB,1,14,94.66666667,82.19492322,10287.83333,15,80
eMBB,1,15,94.66666667,96.30043571,10287.83333,15,80
eMBB,1,16,94.66666667,82.42906175,11459,15,80
eMBB,1,17,94.66666667,50.57555938,11459,15,80
eMBB,1,18,94.66666667,84.76779407,11459,15,80
eMBB,1,19,94.66666667,53.52419668,11459,15,80
eMBB,1,20,94.66666667,69.66162496,11459,15,80
eMBB,2,1,87,56.03657515,0,15,20
eMBB,2,2,87,63.35056084,857.5,15,40
eMBB,2,3,87,89.20666896,2552,15,80
eMBB,2,4,87,54.74181475,3643.333333,15,80
eMBB,2,5,87,76.57981157,3846.333333,15,80
eMBB,2,6,87,77.08467744,4158,15,80
eMBB,2,7,87,79.26048862,5750.5,15,80
eMBB,2,8,87,82.81010883,5750.5,15,80
eMBB,2,9,87,62.77981502,5750.5,15,80
eMBB,2,10,87,78.40920763,5750.5,15,80
eMBB,2,11,87,57.82824234,5750.5,15,80
eMBB,2,12,87,79.60805761,5750.5,15,80
eMBB,2,13,87,84.76610833,5750.5,15,80
eMBB,2,14,87,94.00953817,5750.5,15,80
eMBB,2,15,87,86.46311764,5750.5,15,80
eMBB,2,16,87,67.8300196,5750.5,15,80
eMBB,2,17,87,50.0302264,5750.5,15,80
eMBB,2,18,87,58.74051802,5750.5,15,80
eMBB,2,19,87,72.59133678,5750.5,15,80
eMBB,2,20,87,51.2455462,5750.5,15,80
eMBB,3,1,89.66666667,85.35612171,0,15,20
eMBB,3,2,89.66666667,50.92831632,869,15,40
eMBB,3,3,89.66666667,62.9776522,5347.833333,15,80
eMBB,3,4,89.66666667,83.66668493,5713.333333,15,80
eMBB,3,5,89.66666667,58.39980789,7068.333333,15,80
eMBB,3,6,89.66666667,78.28851039,7068.333333,15,80
eMBB,3,7,89.66666667,91.14270096,8216.333333,15,80
eMBB,3,8,89.66666667,98.17140617,8216.333333,15,80
eMBB,3,9,89.66666667,92.68383358,8216.333333,15,80
eMBB,3,10,89.66666667,92.96631882,8216.333333,15,80
eMBB,3,11,89.66666667,97.93636689,8216.333333,15,80
eMBB,3,12,89.66666667,69.21503345,8216.333333,15,80
eMBB,3,13,89.66666667,50.90952621,8216.333333,15,80
eMBB,3,14,89.66666667,73.09517222,8216.333333,15,80
eMBB,3,15,89.66666667,91.48106776,8216.333333,15,80
eMBB,3,16,89.66666667,96.20500207,8216.333333,15,80
eMBB,3,17,89.66666667,97.06741314,8216.333333,15,80
eMBB,3,18,89.66666667,66.38093338,8216.333333,15,80
eMBB,3,19,89.66666667,64.60568372,8216.333333,15,80
eMBB,3,20,89.66666667,51.48568717,8216.333333,15,80
eMBB,4,1,88.83333333,68.40996786,0,15,20
eMBB,4,2,88.83333333,86.97274023,865.6666667,15,40
eMBB,4,3,88.83333333,73.98184699,1727.666667,15,80
eMBB,4,4,88.83333333,70.67675296,1727.666667,15,80
eMBB,4,5,88.83333333,64.45116178,2344.166667,15,80
eMBB,4,6,88.83333333,80.99534334,2431.666667,15,80
eMBB,4,7,88.83333333,81.39415529,2771.166667,15,80
eMBB,4,8,88.83333333,69.92444183,4637,15,80
eMBB,4,9,88.83333333,99.7027876,6142,15,80
eMBB,4,10,88.83333333,83.24489378,6144.5,15,80
eMBB,4,11,88.83333333,59.80952541,6144.5,15,80
eMBB,4,12,88.83333333,94.3941312,7413.666667,15,80
eMBB,4,13,88.83333333,66.54952684,7413.666667,15,80
eMBB,4,14,88.83333333,57.91018733,7413.666667,15,80
eMBB,4,15,88.83333333,84.8553605,7413.666667,15,80
eMBB,4,16,88.83333333,81.13973929,7413.666667,15,80
eMBB,4,17,88.83333333,50.85959253,7413.666667,15,80
eMBB,4,18,88.83333333,65.3118904,7413.666667,15,80
eMBB,4,19,88.83333333,96.18394095,7413.666667,15,80
eMBB,4,20,88.83333333,55.82185736,7413.666667,15,80
eMBB,5,1,91.33333333,91.14789529,0,15,20
eMBB,5,2,91.33333333,54.73596601,865.5,15,40
eMBB,5,3,91.33333333,76.59183517,953.5,15,80
eMBB,5,4,91.33333333,53.35202986,4998.333333,15,80
eMBB,5,5,91.33333333,91.17228106,6108.666667,15,80
eMBB,5,6,91.33333333,70.20310898,6108.666667,15,80
eMBB,5,7,91.33333333,59.14479764,6178.666667,15,80
eMBB,5,8,91.33333333,84.95011605,6445.5,15,80
eMBB,5,9,91.33333333,96.24842039,6445.5,15,80
eMBB,5,10,91.33333333,91.61558578,6445.5,15,80
