iteration,step,reward,latency,tx_packets,rx_packets,channelNumber,channelWidth,gi,mcs,txPower
1,480,1371,269,2905,2686,1,20,800,4,18
2,640,1341,592,2208,2056,1,20,800,4,18
3,474,848,810,7011,6943,1,20,800,4,18
4,1808,1319,232,5016,4578,1,20,800,4,18
5,1910,1177,435,24685,24331,1,20,800,4,18
6,858,1061,1044,20010,19844,1,20,800,4,18
7,2821,1082,1505,14847,14733,1,20,800,4,18
8,928,1380,2344,31880,31783,1,20,800,4,18
9,2529,1403,2133,40581,40484,1,20,800,4,18
10,4870,1268,760,23850,23564,1,20,800,4,18
11,2442,1500,2574,21197,20798,1,20,800,4,18
12,2208,1392,2868,32388,31976,1,20,800,4,18
13,4784,1050,3900,37752,37593,1,20,800,4,18
14,3472,1056,1316,25186,25040,1,20,800,4,18
15,3150,1037,3300,51585,51405,1,20,800,4,18
16,2800,878,3792,74832,74460,1,20,800,4,18
17,6120,1447,1972,58191,57882,1,20,800,4,18
18,2610,1022,4230,62694,62643,1,20,800,4,18
19,8645,1273,3420,89851,89467,1,20,800,4,18
20,2260,1474,5880,45920,45798,1,20,800,4,18
21,5355,1222,4452,27279,27054,1,20,800,4,18
22,9548,1430,6578,51018,50631,1,20,800,4,18
23,7475,864,5152,42182,41979,1,20,800,4,18
24,8688,1414,6144,43824,43705,1,20,800,4,18
25,6350,1476,2600,97700,97700,1,20,800,4,18
26,9334,904,4810,112788,112547,1,20,800,4,18
27,9720,1042,7533,74736,74390,1,20,800,4,18
28,3780,998,7924,104076,103630,1,20,800,4,18
29,11310,1032,4930,133893,133476,1,20,800,4,18
30,9120,1300,3120,60000,59785,1,20,800,4,18
31,6293,1143,5983,43183,42828,1,20,800,4,18
32,3808,800,2112,122528,122513,1,20,800,4,18
33,15939,972,1683,60192,60180,1,20,800,4,18
34,4488,1410,10098,92106,92011,1,20,800,4,18
35,11060,1055,3080,117215,116919,1,20,800,4,18
36,6084,1206,2916,116208,115876,1,20,800,4,18
37,8917,823,7992,184075,184031,1,20,800,4,18
38,7410,1477,4142,57380,57327,1,20,800,4,18
39,11505,1246,2574,92196,91741,1,20,800,4,18
40,9800,916,4600,180960,180467,1,20,800,4,18
41,17876,852,2050,162032,161974,1,20,800,4,18
42,15204,1313,2142,141876,141686,1,20,800,4,18
43,15050,1211,7697,187953,187558,1,20,800,4,18
44,15268,929,9020,132572,132127,1,20,800,4,18
45,17640,1132,8955,181620,181259,1,20,800,4,18
46,6164,1204,8970,226918,226683,1,20,800,4,18
47,20445,1430,13254,138838,138355,1,20,800,4,18
48,22512,986,8016,177216,176816,1,20,800,4,18
49,12593,1265,3969,160426,160110,1,20,800,4,18
50,18750,804,14200,172600,172220,1,20,800,4,18
